OwnerUserId,VoteRatio_Python
25,0.001171417
30,0.007653061
38,0.073891626
48,0.006666667
50,0.016085791
59,0.018181818
61,0.036761669
64,0.004398827
72,0.000461148
77,0.08988764
79,0.014636246
85,0.025724051
86,0.026819923
91,0.001303356
92,0.299875312
96,0.082423039
104,0.183673469
111,0.08847185
112,0.003207698
115,0.086416748
116,0.047265104
121,0.123100896
144,0.042042042
145,0.228036486
147,0.014626219
154,0.333333333
155,0.015151515
156,0.200442968
161,0.122377622
166,0.034220532
168,0.01171875
170,0
173,0.24795082
181,0.012578616
184,0.003941783
188,0.056603774
189,0.371937639
191,0.003422704
194,0.002252252
199,0.098626717
207,0.211314476
208,0.007787873
209,0.001978239
214,0.002314815
219,0.005545287
243,0.167910448
257,0.030054645
259,0.306985294
260,0.0027894
261,0.294117647
267,0.031581134
270,0.005555556
280,0.188976378
292,0.001490313
293,0.1
305,0.055344547
327,0.004870921
331,0.002105263
338,0.018065268
339,0.045840407
356,0.005740528
361,0.002350729
369,0.011276269
381,0.000462963
394,0.27173913
416,0.076923077
419,0.009407858
422,0.064887493
425,0.00257732
426,0.002747253
432,0.031561462
437,0.03472883
456,0.172064777
473,0.189017951
477,0.25
479,0.024523161
482,0.043956044
488,0.02020202
504,0.327586207
556,0.006348021
557,0.003095975
567,0.093023256
571,0
572,0.009497207
573,0.095022624
577,0.070306038
612,0.25
625,0.007780508
635,0.070175439
636,0.018320611
658,0.012860728
676,0.301886792
680,0.195989651
681,0.034075104
688,0.000856898
699,0.001006036
712,0.345679012
720,0.18
723,0.183098592
726,0.001270648
735,0.014218009
736,0.032828283
742,0.059840426
745,0.152971465
751,0.000924214
758,0.003604903
765,0.001544402
781,0.003056769
802,0.009062391
825,0.001597019
836,0.111111111
844,0.1875
845,0.014423077
852,0.068181818
853,0.218543046
854,0.009950249
861,0.005597015
879,0.066037736
889,0.025531915
890,0.006896552
893,0.036746583
912,0.163062284
913,0.357142857
916,0.100864553
917,0.008990318
953,0.272727273
974,0.034329683
985,0.089504185
987,0.016129032
1002,0.6875
1007,0.014450867
1024,0.222222222
1031,0.006379585
1034,0.022727273
1039,0.071578947
1044,0.087591241
1057,0.290322581
1061,0.222222222
1084,0.086281277
1087,0.121212121
1114,0.12283737
1142,0.014150943
1145,0.007352941
1155,0.380952381
1167,0.035087719
1179,0.143916914
1191,0.039215686
1208,0.016393443
1216,0.032258065
1220,0.005119454
1231,0.007926024
1247,0.001101322
1266,0.005819593
1288,0.003780983
1304,0.042962963
1333,0.06122449
1335,0.055970149
1343,0.010677708
1348,0.002096436
1370,0.004232164
1388,0.244038156
1405,0.246753247
1409,0.001169591
1428,0.000407997
1431,0.003340013
1438,0.010778443
1447,0.040816327
1448,0.138062065
1452,0.214285714
1463,0.000453035
1474,0.085106383
1476,0.25879397
1489,0.030701754
1491,0.014644351
1512,0.065839695
1530,0.020408163
1531,0.306666667
1546,0.216393443
1553,0.063157895
1556,0.033412888
1578,0.032581454
1586,0.074829932
1595,0.025094103
1605,0.015625
1608,0.266666667
1615,0.034875445
